;show_date;Artist;Title;Album;Year
411;Dec 4. 2022 ;The Jon Spencer Blues Explosion;Cowboy;Orange;2010
412;Dec 4. 2022 ;King Khan & the Shrines;Born to Die;Idle No More;2013
413;Dec 4. 2022 ;Black Lips;Cold Hands;Good Bad Not Evil;2007
414;Dec 4. 2022 ;Twerps;I Don't Mind;Range Anxiety;2015
415;Dec 4. 2022 ;PJ Harvey;Down By The Water;To Bring You My Love;1995
416;Dec 4. 2022 ;Limes;Merrilly;Tarantula! / Blue Blood;2011
417;Dec 4. 2022 ;Matthew Sweet;Sick of Myself;Platinum & Gold Collection;1995
418;Dec 4. 2022 ;Hinds;Bamboo;Demo;2014
419;Dec 4. 2022 ;Pavement;Elevate Me Later;Elevate Me Later;2004
420;Dec 4. 2022 ;The Black Keys;She Said. She Said;The Big Come Up;2008
421;Dec 4. 2022 ;Cherry Glazerr;Nurse Ratched;Nurse Ratched;2016
422;Dec 4. 2022 ;Blondie;One Way Or Another (2001 - Remaster);One Way Or Another;2013
423;Dec 4. 2022 ;Crocodiles;I Wanna Kill;Summer of Hate (Bonus Track Version);2014
424;Dec 4. 2022 ;Broken Bells;The Ghost Inside;Broken Bells;2010
425;Dec 4. 2022 ;Car Seat Headrest;Vincent;Vincent;2016
426;Dec 4. 2022 ;Broncho;Deena;Just Enough Hip To Be Woman;2014
427;Dec 4. 2022 ;Built To Spill;Sidewalk;Sidewalk;1999
428;Dec 4. 2022 ;Courtney Barnett;Nobody Really Cares If You Don't Go To The Party;Sometimes I Sit And Think. And Sometimes I Just Sit;2015
429;Dec 4. 2022 ;Radiohead;Man of War;Man of War;2017
430;Dec 4. 2022 ;The White Stripes;Rag and Bone;Rag and Bone;2020
431;Dec 4. 2022 ;Ne-Hi;Since I've Been Thinking;NE-HI;2014
432;Dec 4. 2022 ;Neutral Milk Hotel;You've Passed;On Avery Island;1996
433;Dec 4. 2022 ;Tacocat;The Internet;Lost Time;2016
434;Dec 4. 2022 ;Frankie Cosmos;On the Lips;On the Lips;2016
435;Dec 4. 2022 ;The Coathangers;Down Down;Nosebleed Weekend;2016
436;Dec 4. 2022 ;The Unicorns;I Was Born (A Unicorn);Who Will Cut Our Hair When We're Gone? (Remastered);2014
437;Dec 4. 2022 ;Astralasia;Realise Your Purpose;Astralogy;2014
438;Dec 1. 2022 ;The Shins;Australia;Australia (CD);2007
439;Dec 1. 2022 ;Modest Mouse;Ocean Breathes Salty (Album Version);Good News For People Who Love Bad News;2004
440;Dec 1. 2022 ;The Dead Weather;So Far from Your Weapon;So Far from Your Weapon;2009
441;Dec 1. 2022 ;Sebadoh;Willing To Wait;Willing To Wait;2006
442;Dec 1. 2022 ;Tijuana Panthers;Advice;EP;2008
443;Dec 1. 2022 ;Ty Segall;Drug Mugger;Mr. Face;2015
444;Dec 1. 2022 ;Pixies;Debaser;Death To The Pixies;1997
445;Dec 1. 2022 ;The Jon Spencer Blues Explosion;Cowboy;Orange;2010
446;Dec 1. 2022 ;King Khan & The Shrines;Born to Die;Idle No More;2013
447;Dec 1. 2022 ;Black Lips;Cold Hands;Good Bad Not Evil;2007
448;Dec 1. 2022 ;Twerps;I Don't Mind;Range Anxiety;2015
449;Dec 1. 2022 ;PJ Harvey;Down By The Water;To Bring You My Love;1995
450;Dec 1. 2022 ;Limes;Merrilly;Tarantula! / Blue Blood;2011
451;Dec 1. 2022 ;Matthew Sweet;Sick of Myself;Platinum & Gold Collection;1995
452;Dec 1. 2022 ;Hinds;Bamboo;Demo;2014
453;Dec 1. 2022 ;Pavement;Elevate Me Later;Elevate Me Later;2004
454;Dec 1. 2022 ;The Black Keys;She Said. She Said;The Big Come Up;2008
